热榜排名,热榜标题,热度值,热榜标签,热榜分类,热榜链接
1,姆巴佩梅开二度,11671729,hot,sports,https://www.toutiao.com/trending/7654331928123838002
2,美股：纳指跌1.32% SpaceX跌超16%,10561017,,finance,https://www.toutiao.com/trending/7654363973835296302
3,近4000家外资企业追加在华投资,9556003,,,https://www.toutiao.com/article/7654119622790218275
4,媒体陪看挪威VS塞内加尔,8646629,,sports,https://webcast-open.douyin.com/open/media_live/808207714751
5,日方飞机两次干扰中方正常科考,7823793,,international,https://www.toutiao.com/trending/7653772502817587250
6,冯小刚回应《一九四二》豆瓣评分上涨,7079261,,entertainment,https://www.toutiao.com/trending/7654111640723505158
7,世界杯32强已产生5席,6405580,hot,sports,https://www.toutiao.com/trending/7654165387822550564
8,小伙四年两次救人于险境,5796009,,,https://www.toutiao.com/trending/7653844720889315355
9,提车半小时被提车1天的同款车撞了,5244445,,car,https://www.toutiao.com/trending/7654066191908077595
10,世界杯最新金靴赔率：姆巴佩领跑,4745370,new,sports,https://www.toutiao.com/trending/7654128143825403950
11,南华禅寺辟谣售卖祈福套餐,4293789,refuteRumors,,https://www.toutiao.com/trending/7654157692445507603
12,张柏芝晒照为周星驰庆生,3885181,,entertainment,https://www.toutiao.com/trending/7654016134118916115
13,陈小春：我愿意为了家庭努力去奔波,3515457,,entertainment,https://www.toutiao.com/trending/7654010122369974291
14,韩红为冯小刚新片站台喊话引争议,3180917,new,entertainment,https://www.toutiao.com/trending/7653642616873091108
15,苑举正：张雪在台湾比张凌赫更“神”,2878212,new,taiwan,https://www.toutiao.com/trending/7654152115207929898
16,阿根廷全队赛后一起向球迷谢场,2604314,hot,sports,https://www.toutiao.com/trending/7654165387822583332
17,中国女排找到“新大腿”了吗,2356481,,sports,https://www.toutiao.com/trending/7653713938035343403
18,伊朗否认将用解冻资金购买美农产品,2132232,new,international,https://www.toutiao.com/trending/7654242307297935406
19,媒体：41岁的C罗还该不该首发,1929323,,sports,https://www.toutiao.com/trending/7653998996117880895
20,30岁女警为救跳楼轻生者牺牲,1745724,,,https://www.toutiao.com/trending/7654182643269156905
21,电影《给阿嬷的情书》官宣延期,1579596,,entertainment,https://www.toutiao.com/trending/7654148913436409892
22,法国3-0伊拉克 姆巴佩双响,1429278,hot,sports,https://www.toutiao.com/trending/7654321927812566538
23,2026环太平洋军演武器前瞻,1293264,new,military,https://www.toutiao.com/trending/7654256930390543935
24,印度4男子坐充气车胎聊天被炸飞致1死,1170194,,international,https://www.toutiao.com/trending/7654182310362824754
25,佛得角本土球员月薪仅1000多元,1058835,,sports,https://www.toutiao.com/trending/7653444390006358042
26,中国女排选手泪洒赛场土耳其选手安慰,958073,new,sports,https://www.toutiao.com/trending/7653656273417863211
27,专家：证券板块明显被低估了,866901,new,finance,https://www.toutiao.com/trending/7654367229839937030
28,伊朗队在洛杉矶更衣室留下感谢信,784404,,sports/international,https://www.toutiao.com/trending/7654111669110669353
29,蔡磊妻子谈渐冻症带来的经济压力,709758,,health,https://www.toutiao.com/trending/7654107504103935526
30,纳斯达克中国金龙指数收跌1.26%,642216,,finance,https://www.toutiao.com/trending/7654224289775484969
31,00后记者体验在车里看世界杯,581101,,sports,https://www.toutiao.com/trending/7653500300612108338
32,清华教授造的机器人去顺丰打工了,525802,,technology,https://www.toutiao.com/trending/7654134773532262463
33,高盛警告：中东战争连锁效应仍持续,475765,new,finance,https://www.toutiao.com/trending/7654089549962281001
34,伊朗总统致敬伊朗国家队,430490,,sports,https://www.toutiao.com/trending/7654016350054613011
35,听中方领队讲述台东海域调查,389523,,military,https://www.toutiao.com/trending/7654341188404822043
36,洲际导弹：不试则已一试惊人,352455,hot,military,https://www.toutiao.com/trending/7653624789789671460
37,阿根廷两连胜提前出线,318915,hot,sports,https://www.toutiao.com/trending/7654153276996292115
38,大马女子嘲笑中国人不洗澡被批后道歉,288566,,international,https://www.toutiao.com/trending/7653674292672249910
39,法国vs伊拉克现场下起瓢泼大雨,261105,,sports,https://www.toutiao.com/trending/7654340470495170058
40,网友排队给西班牙队道歉,236258,,sports,https://www.toutiao.com/trending/7654062822971998250
41,沈阳户外大咖冰峰去世年仅55岁,213775,,,https://www.toutiao.com/trending/7654025777630248979
42,冰箱里的粽子放多久不能吃,193431,,health,https://www.toutiao.com/trending/7653977592433344554
43,媒体：中国足协多个部门在跟踪世界杯,175024,new,sports,https://www.toutiao.com/trending/7654070809782550574
44,编剧史建全谈《抓特务》,158368,,entertainment,https://www.toutiao.com/trending/7654174472392212534
45,景区盆栽NPC抱着缸狂奔卡点上班,143297,,culture,https://www.toutiao.com/trending/7654076822291890227
46,旭日旗现身世界杯看台遭韩网友痛批,129661,,sports,https://www.toutiao.com/trending/7653054938448412691
47,儿子每晚用绳牵着脑梗父亲跑步,117322,,,https://www.toutiao.com/trending/7653814688451624979
48,无人机拍下俄军航弹命中乌桥梁瞬间,106157,new,military,https://www.toutiao.com/trending/7653651789610352678
49,巴拉圭女球迷谈爆火出圈,96055,,sports,https://www.toutiao.com/trending/7653242664464777262
50,学者谈《给阿嬷的情书》为何走红,86914,,culture,https://www.toutiao.com/trending/7654234793114468406
